Level:0  |Health:0  |Endurance:0  |Base Attack:0  | xp:0.
Level:1  |Health:5  |Endurance:26  |Base Attack:1  | xp:30.
Level:2  |Health:13  |Endurance:52  |Base Attack:5  | xp:61.
Level:3  |Health:23  |Endurance:78  |Base Attack:10  | xp:91.
Level:4  |Health:35  |Endurance:104  |Base Attack:17  | xp:122.
Level:5  |Health:49  |Endurance:130  |Base Attack:27  | xp:153.
Level:6  |Health:65  |Endurance:156  |Base Attack:38  | xp:183.
Level:7  |Health:83  |Endurance:182  |Base Attack:51  | xp:214.
Level:8  |Health:103  |Endurance:208  |Base Attack:67  | xp:244.
Level:9  |Health:125  |Endurance:234  |Base Attack:84  | xp:275.
Level:10  |Health:149  |Endurance:261  |Base Attack:104  | xp:306.
Level:11  |Health:175  |Endurance:287  |Base Attack:125  | xp:336.
Level:12  |Health:203  |Endurance:313  |Base Attack:148  | xp:367.
Level:13  |Health:233  |Endurance:339  |Base Attack:174  | xp:397.
Level:14  |Health:265  |Endurance:365  |Base Attack:201  | xp:428.
Level:15  |Health:299  |Endurance:391  |Base Attack:230  | xp:459.
Level:16  |Health:335  |Endurance:417  |Base Attack:262  | xp:489.
Level:17  |Health:373  |Endurance:443  |Base Attack:295  | xp:520.
Level:18  |Health:413  |Endurance:469  |Base Attack:330  | xp:550.
Level:19  |Health:455  |Endurance:495  |Base Attack:368  | xp:581.
Level:20  |Health:499  |Endurance:522  |Base Attack:407  | xp:612.
Level:21  |Health:545  |Endurance:548  |Base Attack:448  | xp:642.
Level:22  |Health:593  |Endurance:574  |Base Attack:492  | xp:673.
Level:23  |Health:643  |Endurance:600  |Base Attack:537  | xp:703.
Level:24  |Health:695  |Endurance:626  |Base Attack:584  | xp:734.
Level:25  |Health:749  |Endurance:652  |Base Attack:634  | xp:765.
Level:26  |Health:805  |Endurance:678  |Base Attack:685  | xp:795.
Level:27  |Health:863  |Endurance:704  |Base Attack:738  | xp:826.
Level:28  |Health:923  |Endurance:730  |Base Attack:794  | xp:856.
Level:29  |Health:985  |Endurance:756  |Base Attack:851  | xp:887.
Level:30  |Health:1049  |Endurance:783  |Base Attack:911  | xp:918.
Level:31  |Health:1115  |Endurance:809  |Base Attack:972  | xp:948.
Level:32  |Health:1183  |Endurance:835  |Base Attack:1035  | xp:979.
Level:33  |Health:1253  |Endurance:861  |Base Attack:1101  | xp:1009.
Level:34  |Health:1325  |Endurance:887  |Base Attack:1168  | xp:1040.
Level:35  |Health:1399  |Endurance:913  |Base Attack:1237  | xp:1071.
Level:36  |Health:1475  |Endurance:939  |Base Attack:1309  | xp:1101.
Level:37  |Health:1553  |Endurance:965  |Base Attack:1382  | xp:1132.
Level:38  |Health:1633  |Endurance:991  |Base Attack:1457  | xp:1162.
Level:39  |Health:1715  |Endurance:1017  |Base Attack:1535  | xp:1193.
Level:40  |Health:1799  |Endurance:1044  |Base Attack:1614  | xp:1224.
Level:41  |Health:1885  |Endurance:1070  |Base Attack:1695  | xp:1254.
Level:42  |Health:1973  |Endurance:1096  |Base Attack:1779  | xp:1285.
