Level:1   Health:8   Endurance:26
Level:2   Health:18   Endurance:52
Level:3   Health:30   Endurance:78
Level:4   Health:44   Endurance:104
Level:5   Health:60   Endurance:130
Level:6   Health:78   Endurance:156
Level:7   Health:98   Endurance:182
Level:8   Health:120   Endurance:208
Level:9   Health:144   Endurance:234
Level:10   Health:170   Endurance:261
Level:11   Health:198   Endurance:287
Level:12   Health:228   Endurance:313
Level:13   Health:260   Endurance:339
Level:14   Health:294   Endurance:365
Level:15   Health:330   Endurance:391
Level:16   Health:368   Endurance:417
Level:17   Health:408   Endurance:443
Level:18   Health:450   Endurance:469
Level:19   Health:494   Endurance:495
Level:20   Health:540   Endurance:522
Level:21   Health:588   Endurance:548
Level:22   Health:638   Endurance:574
Level:23   Health:690   Endurance:600
Level:24   Health:744   Endurance:626
Level:25   Health:800   Endurance:652
Level:26   Health:858   Endurance:678
Level:27   Health:918   Endurance:704
Level:28   Health:980   Endurance:730
Level:29   Health:1044   Endurance:756
Level:30   Health:1110   Endurance:783
Level:31   Health:1178   Endurance:809
Level:32   Health:1248   Endurance:835
Level:33   Health:1320   Endurance:861
Level:34   Health:1394   Endurance:887
Level:35   Health:1470   Endurance:913
Level:36   Health:1548   Endurance:939
Level:37   Health:1628   Endurance:965
Level:38   Health:1710   Endurance:991
Level:39   Health:1794   Endurance:1017
Level:40   Health:1880   Endurance:1044
Level:41   Health:1968   Endurance:1070
Level:42   Health:2058   Endurance:1096
Level:43   Health:2150   Endurance:1122
Level:44   Health:2244   Endurance:1148
Level:45   Health:2340   Endurance:1174
Level:46   Health:2438   Endurance:1200
Level:47   Health:2538   Endurance:1226
Level:48   Health:2640   Endurance:1252
Level:49   Health:2744   Endurance:1278
Level:50   Health:2850   Endurance:1305
Level:51   Health:2958   Endurance:1331
Level:52   Health:3068   Endurance:1357
Level:53   Health:3180   Endurance:1383
Level:54   Health:3294   Endurance:1409
Level:55   Health:3410   Endurance:1435
Level:56   Health:3528   Endurance:1461
Level:57   Health:3648   Endurance:1487
Level:58   Health:3770   Endurance:1513
Level:59   Health:3894   Endurance:1539
Level:60   Health:4020   Endurance:1566
Level:61   Health:4148   Endurance:1592
Level:62   Health:4278   Endurance:1618
Level:63   Health:4410   Endurance:1644
Level:64   Health:4544   Endurance:1670
Level:65   Health:4680   Endurance:1696
Level:66   Health:4818   Endurance:1722
Level:67   Health:4958   Endurance:1748
Level:68   Health:5100   Endurance:1774
Level:69   Health:5244   Endurance:1800
Level:70   Health:5390   Endurance:1827
Level:71   Health:5538   Endurance:1853
Level:72   Health:5688   Endurance:1879
Level:73   Health:5840   Endurance:1905
Level:74   Health:5994   Endurance:1931
Level:75   Health:6150   Endurance:1957
Level:76   Health:6308   Endurance:1983
Level:77   Health:6468   Endurance:2009
Level:78   Health:6630   Endurance:2035
Level:79   Health:6794   Endurance:2061
Level:80   Health:6960   Endurance:2088
Level:81   Health:7128   Endurance:2114
Level:82   Health:7298   Endurance:2140
Level:83   Health:7470   Endurance:2166
Level:84   Health:7644   Endurance:2192
Level:85   Health:7820   Endurance:2218
Level:86   Health:7998   Endurance:2244
Level:87   Health:8178   Endurance:2270
Level:88   Health:8360   Endurance:2296
Level:89   Health:8544   Endurance:2322
Level:90   Health:8730   Endurance:2349
Level:91   Health:8918   Endurance:2375
Level:92   Health:9108   Endurance:2401
Level:93   Health:9300   Endurance:2427
Level:94   Health:9494   Endurance:2453
Level:95   Health:9690   Endurance:2479
Level:96   Health:9888   Endurance:2505
Level:97   Health:10088   Endurance:2531
Level:98   Health:10290   Endurance:2557
Level:99   Health:10494   Endurance:2583
Level:100   Health:10700   Endurance:2610
